n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time
40,2,wt040_001,8.386947632,8.38695,4.84005,3.13931,0.35229,3.47034,0.07174,3.1275,2.28317,0,606,606,0.037671233,606,584,537,190,50934,28219,0,0,0,0,0,110,0,0,0,3,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_006,9.986312866,9.98631,5.00388,1.35575,0.44135,4.88795,0.08938,1.34906,0.52452,0,3886,3886,0.00283871,3886,3875,521,218,54678,14839,0,0,0,0,0,110,0,0,0,4,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_011,7.047279358,7.04728,2.49584,1.0624,0.49252,4.46885,0.07855,1.06001,0.445,0,9617,9617,0.002606339,9617,9592,388,238,53120,10911,0,0,0,0,0,110,0,0,0,1,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_016,71.40795326,71.40795,66.062,28.60791,1.12947,5.25069,0.09075,28.54983,14.20048,0,38356,38356,0.002063903,38356,38277,6556,356,57228,10307,0,0,0,0,0,110,0,0,0,13,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_021,5.053598404,5.0536,0.97374,0.95196,0.97075,4.01986,0.05619,0.95111,0.46521,0,41048,41048,0,41048,41048,466,466,40900,0,0,0,0,0,0,110,0,0,0,0,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_026,3.388875961,3.38887,0.37915,0.35681,0.37503,2.9106,0.09309,0.35635,0.10694,0,87,87,0,87,87,153,153,59514,0,0,0,0,0,0,110,0,0,0,0,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_031,15.53401756,15.53402,9.91756,6.44442,0.51219,5.51709,0.09531,6.42615,4.37525,0,3812,3812,0.014369345,3812,3758,1205,248,68310,20288,0,0,0,0,0,110,0,0,0,3,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_036,51.88507652,51.88508,44.96759,18.90605,0.79032,6.80871,0.10454,18.83387,9.54328,0,10713,10713,0.004971857,10713,10660,6370,337,63192,9952,0,0,0,0,0,110,0,0,0,23,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_041,10.80404663,10.80405,4.66163,1.56788,1.31626,6.04688,0.09127,1.56588,0.76328,0,30802,30802,0.000129879,30802,30798,444,388,61714,1438,0,0,0,0,0,110,0,0,0,2,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_046,5.567756653,5.56776,1.03374,1.01303,1.0308,4.47438,0.05577,1.01184,0.39629,0,34146,34146,0,34146,34146,555,555,34756,0,0,0,0,0,0,110,0,0,0,0,7/12/2021,5000,1,0.8,3,8,0.7,false,false,false,3,0,false
