n,m,Inst,first_rel_error_AFBC,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_upper_bound_AFBC,nb_generated_col_AFBC,nb_generated_col_root_AFBC,nb_nodes_explored_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,size_after_reduced_cost_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC
40,2,1,0.0376712328122067,50934,0.0,606,606,484,201,2,True,0.4446931322801136,0.0,28284,6.284206000000001,24.685074,4.5142440000000015
40,2,6,0.0028387096766867,54678,0.0,3886,3886,345,220,2,True,0.7272760525123948,0.0,14912,5.465347999999999,28.08035,2.4445420000000126
40,2,11,0.0026063386152412,53120,0.0,9617,9617,303,237,1,True,0.8010165662499809,0.0,10570,2.917981000000001,18.83753,1.6188719999999996
40,2,16,0.0020639026046434,57228,0.0,38356,38356,4293,336,10,True,0.8200705947993977,0.0,10297,99.064527,116.490755,38.242525000000015
40,2,21,0.0,40900,0.0,41048,41048,477,477,0,True,0.9999999999755501,0.0,0,1.7528970000000008,22.641433,1.7444500000000005
40,2,26,0.0,59514,0.0,87,87,151,151,0,True,0.9999999999831972,0.0,0,0.7066220000000012,16.247621000000002,0.6997659999999986
40,2,31,0.0143693453926638,68310,0.0,3812,3812,976,225,3,True,0.7028399941340531,0.0,20299,19.658834,45.219221,14.380685000000014
40,2,36,0.0049718574104153,63192,0.0,10713,10713,7232,329,29,True,0.8416096974167362,0.0,10009,91.574408,126.048438,45.21527600000019
40,2,41,0.0001298785635388,61714,0.0,30802,30802,429,413,1,True,0.950027546408432,0.0,3084,6.026754999999998,35.801141,3.0782979999999824
40,2,46,0.0,34756,0.0,34146,34146,565,565,0,True,0.999999999971228,0.0,0,2.137915,24.585602,2.131557000000001
40,2,51,0.0,69618,0.0,0,0,1,1,0,True,0.999999999985636,0.0,0,0.063083,0.242956,0.0561849999999999
40,2,56,0.0055031446497616,62972,0.0,1279,1279,307,211,1,True,0.5639966969357175,0.0,27456,2.795352999999998,25.169598,2.2319549999999992
40,2,61,0.0164572641995702,69558,0.0,11488,11488,8546,338,18,True,0.7197446734995293,0.0,19494,157.781897,191.826439,75.43682300000027
